col1;col2
-4.3899627e-002;-5.0076663e-002
9.9947469e-001;1.7067277e+000
5.5437203e-001;1.0894811e+000
1.9480582e+000;2.4014630e+000
1.1085272e-001;1.0802083e+000
-4.3899627e-002;-5.0076663e-002
7.0273999e-002;-3.1317977e-002
8.6857501e-001;1.0015826e+000
-8.6701227e-002;8.3187437e-001
1.0317369e-001;6.8147744e-001
-7.3234567e-002;1.2743586e+000
1.3073478e-001;1.4912669e+000
-3.5596104e-001;-7.1377801e-001
-4.7928895e-001;2.6289741e-001
1.8405431e+000;1.2560591e+000
3.3428890e-001;7.5688634e-001
-3.1740512e-001;-6.0326686e-001
4.2888546e-001;-1.2821475e-001
-3.8137502e-001;-1.2489066e+000
-9.8873020e-001;-2.4206185e+000
9.5623218e-001;2.5301326e+000
-9.4170743e-001;3.0053566e-001
1.4496954e-001;2.4169776e-001
1.9708668e-001;-6.4092033e-001
9.2344865e-001;-3.3886912e-003
-1.4938027e+000;-8.5486446e-001
5.7125865e-001;7.6758674e-001
-7.0868262e-001;-2.3693540e-001
2.8749828e-001;4.6775924e-001
1.1456209e+000;1.1568607e+000
-5.0941560e-001;8.9159295e-001
-1.0531337e-001;5.9758281e-002
-9.7586132e-001;-4.7754191e-001
5.6501965e-001;-1.7930415e-001
1.5620203e-001;-1.6999778e-001
7.2811573e-001;1.7570742e+000
-9.6672368e-001;-9.5661081e-001
-6.5462305e-002;-4.6872678e-001
-4.3899627e-002;-5.0076663e-002
-7.0225427e-001;-1.6370093e+000
1.2960932e-001;-6.9068359e-001
1.5012324e+000;1.5153446e+000
-5.6093262e-002;-4.4311034e-001
2.3146973e-002;-8.1840384e-001
-7.9617375e-001;-6.1654131e-001
7.3578970e-001;1.7046342e+000
-4.6509424e-001;1.9472150e-001
-9.8969077e-002;-1.2582109e-001
1.8749386e-001;2.6514733e-001
4.1394413e-001;-2.4224507e-001
-7.0559836e-001;-6.7639342e-001
-8.7645693e-001;-1.3788938e+000
-6.5970513e-001;-1.0226835e+000
-2.4586654e-001;-7.1184500e-002
4.4942292e-001;1.1829129e+000
-7.3959782e-001;-1.0689473e+000
-4.3899627e-002;-2.4795842e-001
8.0333952e-001;3.8733392e-001
-2.8449169e-002;-1.6005921e-001
5.5988509e-001;8.0876797e-001
-9.6124564e-002;2.1750668e-001
1.7403560e-001;1.1300595e-001
4.1497113e-001;-3.1882523e-001
-1.7400498e-001;-4.4330088e-001
-3.8493046e-001;-5.5793339e-001
-9.2976372e-002;7.9147364e-002
2.1042479e-001;-7.1087202e-001
-1.1578944e+000;-1.8090375e+000
7.3623737e-002;-4.8099037e-001
-3.7718011e-002;2.3188465e-001
3.8171167e-001;-3.2871616e-001
-5.1279027e-001;-1.4331459e+000
4.1883565e-001;-6.9375239e-001
7.6534980e-001;1.0086873e+000
-1.9517721e+000;-2.5427773e+000
-1.0509449e+000;-1.4229137e+000
1.3172602e+000;2.2026319e+000
8.9432095e-001;-4.7877441e-001
4.0052512e-001;6.1693935e-001
1.0570847e+000;1.0759243e+000
1.3885788e+000;8.2368605e-001
3.3406014e-001;-1.4294783e+000
-4.3899627e-002;-5.0076663e-002
-9.4502168e-001;-2.5497577e+000
1.6569384e-001;-4.2326000e-001
-1.7858784e-001;5.0139532e-001
2.4918908e-001;-4.2780175e-001
-7.6620574e-001;-6.0015029e-001
-6.4428459e-001;-1.0941015e+000
5.5911345e-002;-1.2228349e+000
7.1802603e-001;1.6504430e+000
7.3012812e-001;1.4717789e+000
-7.3096172e-001;-1.4343605e-001
1.2071965e+000;8.7961807e-001
-5.9900309e-001;7.2322206e-001
2.5333041e-001;1.6904473e-001
-2.2213161e-001;-4.2406139e-001
1.3433236e-001;-2.8879724e-001
7.8956168e-001;1.8353444e-001
-4.1248483e-001;-5.9145397e-001
1.5972736e-001;-3.2100983e-001
-7.2724326e-001;-1.0717969e+000
-5.1399868e-001;-4.0284749e-001
6.3672894e-001;3.1483651e-001
6.0564502e-001;2.1322270e-001
-1.6757820e-001;3.3668418e-001
-4.8982137e-001;-2.5535710e-001
1.9555064e-001;1.5692703e-001
-4.3899627e-002;-5.0076663e-002
-7.1343257e-001;-8.5461407e-001
1.4319117e-001;2.4480646e-001
7.8046350e-001;4.9231394e-001
-8.8047789e-002;7.7682803e-001
4.3480204e-001;4.7136137e-001
-5.4615495e-001;8.7497134e-002
2.7654280e-001;7.7137948e-002
-2.5839425e-001;-3.3356254e-001
-7.3318314e-002;-5.2719306e-001
1.1485856e-001;-6.4109999e-001
-1.0536513e+000;-1.4707493e+000
-8.3936345e-001;-7.6542108e-001
2.0405784e-001;-4.0703464e-001
4.2591379e-002;2.7352545e-001
-2.8994942e-002;-1.3966588e-001
-8.0388174e-001;-9.2204180e-001
-1.3042491e+000;-1.9887220e+000
-4.6146222e-001;-7.8846229e-001
3.0063917e-001;8.6168183e-001
-1.8401113e-001;-8.5991505e-001
1.0351666e-001;6.0807691e-001
1.0998539e-001;-4.0671882e-001
-2.4771128e-001;-6.3029455e-001
-9.2632571e-002;-1.1576770e-001
1.0920804e+000;1.9307587e+000
-8.6078466e-002;8.0523860e-001
1.0231608e+000;9.0173126e-001
-7.5600843e-001;-1.0462521e+000
-4.3899627e-002;-5.0076663e-002
2.2298710e-001;-8.2033486e-002
-1.3703389e+000;-1.0781248e+000
-1.0218318e-001;-2.1376597e-002
8.8759359e-001;1.2294333e+000
1.5025010e-001;4.8853221e-001
1.5826425e-001;3.7522406e-001
5.8635770e-001;8.2121736e-001
-4.3173985e-001;-4.8859928e-003
4.3917869e-001;7.4960256e-002
-9.4033783e-001;-1.0407536e+000
-9.0605189e-001;-1.1480882e+000
1.1945462e-001;7.1786102e-001
-9.7922379e-001;-8.8892627e-001
3.3371213e-001;1.9081902e-001
-1.7468420e-001;1.5360842e-002
-1.5047860e-001;-2.0578206e-001
1.5249852e+000;1.1643421e+000
1.2997221e+000;9.6984307e-001
3.3122450e-001;1.7651019e-001
1.2100492e-002;3.0003537e-001
3.2340568e-003;2.1299315e-001
-3.7134804e-001;-2.2882001e-001
-6.1284062e-001;-8.1852086e-001
-7.7462450e-001;-5.4534655e-001
-2.9626834e-001;-9.8867352e-002
1.1862451e-001;-1.5470837e-001
-2.3884023e-001;-3.1913355e-001
-3.5358583e-001;-1.8137346e-001
-2.7000424e-001;-2.5554839e-002
4.2582512e-001;3.3273405e-001
-1.6413169e-001;-1.7402378e-001
9.4354783e-002;-3.2995860e-001
-7.2015617e-001;-6.2277164e-001
-1.0923578e-001;-6.0420339e-003
-1.5929472e+000;-7.8534810e-001
-8.4300296e-001;-1.5352392e+000
7.9931731e-002;-2.6096165e-001
4.0678797e-001;7.7291409e-001
1.9727783e-001;7.4666929e-001
3.5351038e-001;1.3951658e-003
-3.5654356e-001;-1.2818225e-001
2.2895184e-001;3.9112788e-001
6.8879824e-001;9.4213808e-001
1.3221356e-002;5.8336145e-001
-3.5725076e-001;-3.0087797e-001
-4.3899627e-002;-5.0076663e-002
-6.9502917e-001;-4.4671883e-001
2.8678040e-001;5.9910629e-001
9.8278595e-001;1.0484268e+000
-2.7562872e-002;2.5398198e-001
2.0663569e+000;1.8527687e+000
-1.5028649e+000;-1.1244735e+000
-2.8703450e-001;-3.8575323e-001
-1.5000491e-001;2.7879533e-001
2.9812721e-001;1.7083528e-001
-2.3102644e-001;-1.4178084e-001
-1.2538984e+000;-1.0026437e+000
-1.1097689e-001;-5.6937962e-002
2.3569815e-001;4.5809885e-001
-1.1934677e+000;-1.5512268e+000
7.5162319e-001;-3.7284231e-001
-3.3306117e-001;3.4542760e-001
1.0598187e-001;9.2332213e-001
-5.7407969e-001;-9.0063276e-001
-1.7105507e+000;-1.2153478e+000
-7.2137310e-001;-1.1795352e+000
-6.9067940e-002;8.9026977e-001
-8.6343392e-001;-2.8697083e-001
7.0638912e-001;7.6876824e-001
-1.2922129e+000;-6.3728562e-001
1.1540231e+000;5.3016195e-001
8.0305798e-001;4.0198795e-001
-2.2836403e-001;-8.8249239e-002
-6.9694267e-001;3.6902237e-001
-5.3349785e-002;6.3367196e-001
3.9929524e-001;1.3238710e+000
-1.2233716e-001;2.9301163e-001
-9.3795343e-003;6.9792027e-001
3.8816116e-001;-5.5100653e-002
1.6519774e-001;-1.8262325e-002
1.0882137e+000;2.1576310e-001
-3.0378354e-001;-3.7620481e-001
4.4013887e-001;6.9095181e-001
-2.0087828e-001;6.8385031e-001
-6.6189127e-001;-1.5742686e-001
1.0626848e+000;3.4572180e-001
-3.4168793e-001;-5.4341595e-001
-9.5379141e-001;1.0528243e-001
5.9814722e-001;1.3536853e+000
-1.6111485e-001;3.9512677e-001
-1.6742821e-002;7.9424616e-001
-5.1959171e-001;8.6366858e-001
4.1389449e-001;1.0840312e+000
-5.9331488e-002;-1.3673929e-001
-2.5400970e-001;3.8876544e-001
